ID_opera,Provenienza,Titolo,Tipo,Materiale,Soggetto(QID),Autore_1(QID),Autore_2(QID),Autore_3(QID),Data,Specifiche_Data(Da-A),Data_Restauro,Autore_Restauro
MARIASCALA_001,SOTTERRANEO,CIMITERO DI S.ZENONE,CATACOMBE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MARIASCALA_002,SOTTERRANEO,PAVIMENTO COSMATESCO,ELEMENTO ARCHITETTONICO,NULL,NULL,NULL,NULL,SECOLO XIII,1200-1299,NULL,NULL
