ID_opera,Provenienza,Titolo,Tipo,Materiale,Soggetto(QID),Autore_1(QID),Autore_2(QID),Autore_3(QID),Data,Specifiche_Data(Da-A),Data_Restauro,Autore_Restauro
MARIALATA_001,ORATORIO PRIMITIVO,SANTO CORONATO DA UN NIMBO,PITTURA MURALE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MARIALATA_002,ORATORIO PRIMITIVO,SCENA DELLA CROCEFISSIONE,PITTURA MURALE,NULL,CROCEFISSIONE DI CRISTO (Q51636),NULL,NULL,NULL,NULL,NULL,NULL,NULL
MARIALATA_003,SOTTERRANEO,BASSORILIEVO,BASSORILIEVO,NULL,NULL,COSIMO FANCELLI (Q2697303),NULL,NULL,NULL,NULL,NULL,NULL
MARIALATA_004,SOTTERRANEO,POZZO,POZZO,NULL,NULL,S.PAOLO (Q9200),S.LUCA (Q128538),NULL,NULL,NULL,NULL,NULL
