ID_opera,Provenienza,Titolo,Tipo,Materiale,Soggetto(QID),Autore_1(QID),Autore_2(QID),Autore_3(QID),Data,Specifiche_Data(Da-A),Data_Restauro,Autore_Restauro
PRISCA_001,CHIESA SOTTERRANEA,GROTTESCHI,GROTTESCA,NULL,NULL,FONTEBUONI (Q3615087),NULL,NULL,NULL,NULL,NULL,NULL
PRISCA_002,CHIESA SOTTERRANEA,ANTICO CAPITELLO,ELEMENTO ARCHITETTONICO,NULL,NULL,NULL,NULL,NULL,ETÀ ROMANA,0753-476,NULL,NULL
PRISCA_003,CHIESA SOTTERRANEA,ISCRIZIONE,ISCRIZIONE,NULL,BAPTISMUS SANCTI PETRI,NULL,NULL,NULL,XIII SECOLO,1200-1299,NULL,NULL
