ID_opera,Provenienza,Titolo,Tipo,Materiale,Soggetto(QID),Autore_1(QID),Autore_2(QID),Autore_3(QID),Data,Specifiche_Data(Da-A),Data_Restauro,Autore_Restauro
LORENZO2_001,SOTTERRANEO,LASTRA DI MARMO,SCULTURA,MARMO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
LORENZO2_002,SOTTERRANEO,SEPOLCRO,MONUMENTO FUNEBRE,NULL,PIO IX (Q43720),CATTANEO(NULL),NULL,NULL,1881,NULL,NULL,NULL
LORENZO2_003,SOTTERRANEO,DECORAZIONI,PITTURA MURALE,NULL,NULL,LUDOVICO SAETZ (Q3839143),NULL,NULL,NULL,NULL,NULL,NULL
LORENZO2_004,SOTTERRANEO,QUADRI MUSIVI,DIPINTO,NULL,NULL,LUDOVICO SAETZ (Q3839143),NULL,NULL,NULL,NULL,NULL,NULL
