ID_opera,Provenienza,Titolo,Tipo,Materiale,Soggetto(QID),Autore_1(QID),Autore_2(QID),Autore_3(QID),Data,Specifiche_Data(Da-A),Data_Restauro,Autore_Restauro
PIETROMARCELLINO_001,CATACOMBE,SCENE CONVIVIALI,AFFRESCO,NULL,NULL,NULL,NULL,NULL,III SECOLO,200-299,NULL,NULL
PIETROMARCELLINO_002,CATACOMBE,AFFRESCHI,AFFRESCO,NULL,NULL,NULL,NULL,NULL,VIII SECOLO,700-799,NULL,NULL
