ID_opera,Provenienza,Titolo,Tipo,Materiale,Soggetto(QID),Autore_1(QID),Autore_2(QID),Autore_3(QID),Data,Specifiche_Data(Da-A),Data_Restauro,Autore_Restauro
SEBASTIANO_001,CATACOMBE,SEPOLCRO,MONUMENTO FUNEBRE,NULL,NULL,NULL,NULL,NULL,III SECOLO,200-299,NULL,NULL
SEBASTIANO_002,CATACOMBE,GLADIATORE CRISTIANO,NULL,NULL,GLADIATORE (Q482999),NULL,NULL,NULL,III SECOLO,200-299,NULL,NULL
